City,Colors Reported,Shape Reported,State,Time
Madisonville,,DISK,KY,8/31/2000 22:00
Aquebogue,,LIGHT,NY,8/31/2000 21:30
Bouse,,LIGHT,AZ,8/31/2000 21:15
Columbia Heights,RED,OTHER,MN,8/31/2000 20:43
Ft. Worth,,CONE,TX,8/30/2000 23:00
Maybrook,,OTHER,NY,8/30/2000 22:30
West Danville,,LIGHT,VT,8/30/2000 22:30
Lakewood,,LIGHT,CO,8/30/2000 22:18
Redfield,,FORMATION,NY,8/30/2000 22:05
Elkton,,VARIOUS,OR,8/30/2000 22:00
Indian Lake,,FORMATION,NY,8/30/2000 22:00
Long Lake,,FORMATION,NY,8/30/2000 21:45
Jacksonville,,LIGHT,FL,8/30/2000 21:30
Troy,,LIGHT,OH,8/30/2000 21:10
Waltham,,OTHER,MA,8/30/2000 10:15
Everett,YELLOW,LIGHT,WA,8/30/2000 1:30
Wildomar,,DISK,CA,8/29/2000 8:30
Roslyn,,,WA,8/29/2000 5:10
Lake Tawakoni,,,TX,8/29/2000 23:50
Streetsboro,,LIGHT,OH,8/29/2000 23:31
Victorville,,FIREBALL,CA,8/29/2000 23:30
Lake Havasu,,OTHER,AZ,8/29/2000 23:00
San Francisco,GREEN,TRIANGLE,CA,8/29/2000 22:15
Starkville,GREEN,FIREBALL,MS,8/29/2000 22:00
Gay Head,RED,CIRCLE,MA,8/29/2000 22:00
Houston County,,SPHERE,TN,8/29/2000 21:50
Culver City,,LIGHT,CA,8/29/2000 21:48
Claremore,,,OK,8/29/2000 20:00
West Seneca,,EGG,NY,8/29/2000 18:45
Sedona,,SPHERE,AZ,8/29/2000 16:00
Lawrence,,OTHER,KS,8/29/2000 13:30
Albuquerque,,CIRCLE,NM,8/29/2000 12:48
San Diego,,CIRCLE,CA,8/29/2000 1:27
Uniondale,,FIREBALL,NY,8/29/2000 0:15
Sun Prairie,,FORMATION,WI,8/28/2000 6:00
Yreka,,DIAMOND,CA,8/28/2000 4:08
Placerville,,,CA,8/28/2000 3:40
Arnold,,LIGHT,MO,8/28/2000 23:41
Newcastle,GREEN,FIREBALL,CA,8/28/2000 23:23
Gerlach,,OTHER,NV,8/28/2000 22:51
Shorewood,,SPHERE,MN,8/28/2000 22:25
Canton,,DISK,NY,8/28/2000 22:15
Lenexa,ORANGE,LIGHT,KS,8/28/2000 22:15
West Covina,RED,DISK,CA,8/28/2000 22:08
Garden City,,LIGHT,SC,8/28/2000 22:00
Dupo,,DIAMOND,IL,8/28/2000 21:00
Gerlach,,,NV,8/28/2000 21:00
Chickamauga,,LIGHT,GA,8/28/2000 20:30
Warrington,,CHEVRON,FL,8/28/2000 20:15
Prairie   Grove,,CIGAR,AR,8/28/2000 20:00
Zortman,,OTHER,MT,8/28/2000 20:00
La Pine,,DISK,OR,8/28/2000 19:35
New York City,,VARIOUS,NY,8/28/2000 19:00
Hillsboro,,SPHERE,NJ,8/28/2000 17:30
Hillsborough,,SPHERE,NJ,8/28/2000 17:30
Arizona,,,AZ,8/27/2000 4:20
Redding,RED,,CA,8/27/2000 3:00
Millis,,CIRCLE,MA,8/27/2000 23:50
Eugene,,VARIOUS,OR,8/27/2000 23:00
Malone,,CIRCLE,NY,8/27/2000 22:10
Katy,RED,OVAL,TX,8/27/2000 21:00
Carbondale,,LIGHT,IL,8/27/2000 20:45
American Falls,BLUE,DISK,IL,8/27/2000 17:00
